"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
48520,1014,"T.A.36-37 Palace- Central W. of Axis","Fragment of limestone relief","TA.OC.36-37.014","14","0.3 [0.33?]","","","Notes annotated on image.","https://www.flickr.com/photos/25459876@N04/18238327803","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48521,433,"Palace - Central, W. of Axis","Limestone Relief","TA.OC.36-37.015","15","0.34","Ashmolean","TA.36-37; 22 x 25","","https://www.flickr.com/photos/25459876@N04/18672786319","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48521,580,"Palace - Central - W. of Axis","Limestone relief","TA.OC.36-37.015","15","0.34","Ashmolean","","","https://www.flickr.com/photos/25459876@N04/18672786319","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48521,1014,"T.A.36-37 Palace Central W. of Axis","Limestone relief","TA.OC.36-37.015","15","0.34","Ashmolean","","Notes annotated on image.","https://www.flickr.com/photos/25459876@N04/18672786319","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48522,433,"Palace - Central, W. of Axis","Limestone Relief","TA.OC.36-37.016","16","06","San Diego","TA.36-37; 21 x 25","","https://www.flickr.com/photos/25459876@N04/18238327093","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48522,580,"Palace - Central - W. of Axis","Limestone relief","TA.OC.36-37.016","16","0.6","San Diego","","","https://www.flickr.com/photos/25459876@N04/18238327093","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48522,1014,"T.A.36 37 Palace Central W. of Axis","Limestone relief","TA.OC.36-37.016","16","0.6","San Diego","","Notes annotated on image.","https://www.flickr.com/photos/25459876@N04/18238327093","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48523,433,"Palace - Central, W. of Axis","Limestone trial piece","TA.OC.36-37.017","17","0.1","Cairo","TA.36-37; 13 x 18","","https://www.flickr.com/photos/25459876@N04/18858946105","Theresa Huntsman; Joellen mcGann; Denis Antoine"
