"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
48715,433,"Main Chapel","Fragment of limestone inscribed","TA.SC.26-27.051","26/7/51","None given","None given","T.A./S; 8 x 7.5","","https://www.flickr.com/photos/25459876@N04/18238924063","JP OConnor; Joellen mcGann; Denis Antoine"
48715,580,"Main Chapel","Fragment of limestone, inscribed.","TA.SC.26-27.051","26-7/51","","","","","https://www.flickr.com/photos/25459876@N04/18238924063","JP OConnor; Joellen mcGann; Denis Antoine"
48715,817,"","Fragment of limestone incribed","TA.SC.26-27.051","TA S 26/7 51","","","main chapel","8x7.5","https://www.flickr.com/photos/25459876@N04/18238924063","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48716,433,"Main Chapel","Fragment of limestone, uraeus head","TA.SC.26-27.052","26/7/52","None given","None given","T.A./S; 10 x 5","","https://www.flickr.com/photos/25459876@N04/18671805258","JP OConnor; Joellen mcGann; Denis Antoine"
48716,580,"Main Chapel","Fragment of limestone, uraeus head.","TA.SC.26-27.052","26-7/52","","","","","https://www.flickr.com/photos/25459876@N04/18671805258","JP OConnor; Joellen mcGann; Denis Antoine"
48716,817,"","Fragment of limestone, [...] head.","TA.SC.26-27.052","TA S 26/7 52","","Keighly","Main Chapel","10 x 5.","https://www.flickr.com/photos/25459876@N04/18671805258","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48717,433,"Main Chapel","Fragment of limestone, sculptured","TA.SC.26-27.053","26/7/53","None given","None given","T.A./S; 10 x 10","","https://www.flickr.com/photos/25459876@N04/18671782390","JP OConnor; Joellen mcGann; Denis Antoine"
48717,580,"Main Chapel","Fragment of limestone, sculptured.","TA.SC.26-27.053","26-7/53","","","","","https://www.flickr.com/photos/25459876@N04/18671782390","JP OConnor; Joellen mcGann; Denis Antoine"
48717,817,"","Fragment of limestone, sculptured.","TA.SC.26-27.053","TA S 26/7 53","","","Main Chapel","10 x 10.","https://www.flickr.com/photos/25459876@N04/18671782390","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48718,433,"Main Chapel","Fragment of limestone relief (painted) inscribed","TA.SC.26-27.054","26/7/54","None given","None given","T.A./S; 6 x 3.8","","https://www.flickr.com/photos/25459876@N04/18833280226","JP OConnor; Joellen mcGann; Denis Antoine"
48718,580,"Main Chapel","Fragment of limestone relief (painted), inscribed.","TA.SC.26-27.054","26-7/54","","","","","https://www.flickr.com/photos/25459876@N04/18833280226","JP OConnor; Joellen mcGann; Denis Antoine"
48718,817,"","fragment of limestone relief (painted) inscribed","TA.SC.26-27.054","TA S 26/7 54","","","Main Chapel","6 x 3.8","https://www.flickr.com/photos/25459876@N04/18833280226","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48719,580,"Main chapel","Fragment of limestone relief, sculptured.","TA.SC.26-27.055","26-7/55","","","","","https://www.flickr.com/photos/25459876@N04/18833279816","Michael George Adams; JP OConnor; Denis Antoine"
48719,677,"","Fragment of limestone sculptures. ","TA.SC.26-27.055","T.A/ S 26/7/ 55 ","","","main chapel 20 x 11. ","","https://www.flickr.com/photos/25459876@N04/18833279816","Michael George Adams; JP OConnor; Denis Antoine"
48719,817,"","Fragment of limestone, sculptured","TA.SC.26-27.055","TA S 26/7 55","","","Main Chapel","20 x 11.","https://www.flickr.com/photos/25459876@N04/18833279816","Michael George Adams; JP OConnor; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48720,580,"Main Chapel","Fragment of limestone relief, inscribed.","TA.SC.26-27.056","26-7/56","","","","","https://www.flickr.com/photos/25459876@N04/18833279236","Michael George Adams; JP OConnor; Denis Antoine"
48720,677,"","Fragment of limestone relief inscribed","TA.SC.26-27.056","T.A/ S 26/ 7/ 56","","","main chapel 12.5 x 8.5. ","","https://www.flickr.com/photos/25459876@N04/18833279236","Michael George Adams; JP OConnor; Denis Antoine"
48720,817,"","fragment of limestone relief inscribed","TA.SC.26-27.056","TA S 26/7 56","","","Main Chapel","12.5 x 8.5.","https://www.flickr.com/photos/25459876@N04/18833279236","Michael George Adams; JP OConnor; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48721,433,"Main Chapel","Fragment of limestone, sculptured","TA.SC.26-27.057","26-7/57","None given","None given","T.A./S; 9 x 8","","https://www.flickr.com/photos/25459876@N04/18862289681","JP OConnor; Joellen mcGann; Denis Antoine"
48721,580,"Main Chapel","Fragment of limestone, sculptured.","TA.SC.26-27.057","26-7/57","","","","","https://www.flickr.com/photos/25459876@N04/18862289681","JP OConnor; Joellen mcGann; Denis Antoine"
48721,817,"","Fragment of limestone, sculptured","TA.SC.26-27.057","TA S 26-7 57","","","Main Chapel","9x8","https://www.flickr.com/photos/25459876@N04/18862289681","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48722,580,"Maain Chapel","Fragment of limestone relief, sculptured.","TA.SC.26-27.058","26-7/58","","","","","https://www.flickr.com/photos/25459876@N04/18673374979","Michael George Adams; JP OConnor; Denis Antoine"
48722,677,"","limestone relief fragment sculptured","TA.SC.26-27.058","T.A/ S 26/7/ 58 ","","","16 x 9 ","","https://www.flickr.com/photos/25459876@N04/18673374979","Michael George Adams; JP OConnor; Denis Antoine"
48722,817,"","limestone relief fragment sculptured","TA.SC.26-27.058","TA S 26/7 58","","","Main Chapel","16 x 9","https://www.flickr.com/photos/25459876@N04/18673374979","Michael George Adams; JP OConnor; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48723,433,"Main Chapel","Fragment of limestone, sculptured & painted","TA.SC.26-27.059","26-7/59","None given","None given","T.A./S; 15 x 13","","https://www.flickr.com/photos/25459876@N04/18859534325","JP OConnor; Joellen mcGann; Denis Antoine"
48723,580,"Main Chapel","Fragment of limestone, sculptured, painted.","TA.SC.26-27.059","26-7/59","","","","","https://www.flickr.com/photos/25459876@N04/18859534325","JP OConnor; Joellen mcGann; Denis Antoine"
48723,817,"","Fragment of limestone, sculptured & painted.","TA.SC.26-27.059","TA S 26-7 59","","","Main Chapel","15 x 13.","https://www.flickr.com/photos/25459876@N04/18859534325","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48724,433,"Main Chapel","Fragment of limestone relief, inscribed","TA.SC.26-27.060","26/7/60","None given","None given","T.A./S; 6 x 6.5","","https://www.flickr.com/photos/25459876@N04/18859533575","JP OConnor; Joellen mcGann; Denis Antoine"
48724,580,"Maain Chapel","Fragment of limestone relief, inscribed.","TA.SC.26-27.060","26-7/60","","","","","https://www.flickr.com/photos/25459876@N04/18859533575","JP OConnor; Joellen mcGann; Denis Antoine"
48724,817,"","fragment of limestone relief inscribed","TA.SC.26-27.060","TA S 26/7 60","","","Main Chapel","6 x 6.5","https://www.flickr.com/photos/25459876@N04/18859533575","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48725,433,"Main Chapel","None","TA.SC.26-27.061","26-7/61","None given","None given","T.A./S; Belonging to 26-7/62; 27 x 2","","https://www.flickr.com/photos/25459876@N04/18671846310","JP OConnor; Joellen mcGann; Denis Antoine"
48725,580,"Main Chapel","","TA.SC.26-27.061","26-7/61","","","belonging to 26-7/62","","https://www.flickr.com/photos/25459876@N04/18671846310","JP OConnor; Joellen mcGann; Denis Antoine"
48725,817,"","","TA.SC.26-27.061","TA S 26/7 61","","","Main Chapel belonging to 26/7 62","27x2","https://www.flickr.com/photos/25459876@N04/18671846310","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48726,433,"Main Chapel","None","TA.SC.26-27.062","26-7/62","None given","None given","T.A./S; Belonging to 26-7/61; 25.5 x 21","","https://www.flickr.com/photos/25459876@N04/18854382842","JP OConnor; Joellen mcGann; Denis Antoine"
48726,580,"Main Chapel","","TA.SC.26-27.062","26-7/62","","","belonging to 26-7/61","","https://www.flickr.com/photos/25459876@N04/18854382842","JP OConnor; Joellen mcGann; Denis Antoine"
48726,817,"","","TA.SC.26-27.062","TA S 26/7 62","","","Main Chapel belonging to 26/7 61","25.5 x 21","https://www.flickr.com/photos/25459876@N04/18854382842","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
