"CatalogueNumber","North","East","L","Depth (low)","FS No.","S No.","Description"
"1693","301","306","9","55.97","37","","chip tool"
"1693","301","306","9","""","37",,"?"
"1695","301","306","9","55.97","37","","Chip tool"
"1695","301","306","9","55.97","37","","chip tool"
"1695","301","95","9","55.97","37",,""""
"1696","","","","","37","","Chip tool"
"1696","301","306","9","55.97","37","","chip tool"
"1696","""","(1x2)","""","50.76","""",,"Water Screen (WS) Debitage"
"1697","91","95","2","50.76","","2","Water Screen (WS) debitage"
"1697","91","95","2","50.76","","2","Water Screen (WS) debitage"
"1697","91","""","2","""","2",,""""
"1698","","(1x2)","3","50.86","","3","Water Screen (WS) debitage"
"1698","91","95 (1 x 2)","3","50.86","","3","Water Screen (WS) debitage"
"1698",,"""","3","50.86","3",,""""
"1699","","","4","50.96","","4","Water Screen (WS) debitage"
"1699","91","95","4","50.96","","4","Water Screen (WS) debitage"
"1699",,"""","4","50.96","4",,""""
"1700","","","5.1","50.96","","5","Water Screen (WS) debitage"
"1700","91","95","5.1","50.96","","5","Water Screen (WS) debitage"
"1700","""","""","5.1","""","5",,""""
"1701","91","95","7","51.16","","7","Water Screen debitage"
"1701","91","95","7","51.16","","7","Water Screen debitage"
"1701","91","95","7","51.16",,"7","Water Screen Deb"
"1702","cont","cont","9","51.36","","9","Water Screen debitage"
"1702","91","95","9","51.36","","9","Water Screen debitage"
"1702","91","95","9","51.36",,"9","Water Screen Debitage"
"1703","","","10","51.46","","10","Water Screen debitage"
"1703","91","95","10","51.46","","10","Water Screen debitage"
"1703","91","95","10","51.46",,"10","Water Screen Debitage"
"1704","282","299
(1x2)","1","54.86","","1","Water Screen debitage"
"1704","282","299 (1x2)","1","54.86","","1","Water Screen debitage"
"1704","282","299","1","54.86",,"1","Water Screen Debitage"
"1705","","","2","54.96","","2","Water Screen debitage"
"1705","282","299","2","54.96","","2","Water Screen debitage"
"1705","282","299","2","54.96",,"2","Water Screen Debitage"
"1706","","","3","55.1","","3","Water Screen debitage"
"1706","282","299","3","55.1","","3","Water Screen debitage"
"1706","282","299","3","55.1",,"3","Water Screen Debitage"
"1707","","","4","55.2","","4","Water Screen debitage"
"1707","282","299","4","55.2","","4","Water Screen debitage"
"1707","282","299","4","55.2",,"4","Water Screen Debitage"
"1708","","","5","55.3","","5","Water Screen debitage"
"1708","282","299","5","55.3","","5","Water Screen debitage"
"1708","282","299","5","55.3",,"5","Water Screen Debitage"
"1709","","","6","55.4","","6","Water Screen debitage"
"1709","282","299","6","55.4","","6","Water Screen debitage"
"1709","282","299","6","55.4",,"6","Water Screen Debitage"
"1710","","","7","55.5","","7","Water Screen debitage"
"1710","282","299","7","55.5","","7","Water Screen debitage"
"1710","282","299","7","55.5",,"7","Water Screen Debitage"
"1711","","","8","55.6","","8","Water Screen debitage"
"1711","282","299","8","55.6","","8","Water Screen debitage"
"1711","282","299","8","55.6",,"8","Water Screen Debitage"
"1712","","","9","55.7","","9","Water Screen debitage"
"1712","282","299","9","55.7","","9","Water Screen debitage"
"1712","282","299","9","55.2",,"9","Water Screen Debitage"
"1713","","","10","55.8","","10","Water Screen debitage"
"1713","282","299","10","55.8","","10","Water Screen debitage"
"1713","282","299","10","55.8",,"10","Water Screen Debitage"
"1714","","","11","55.9","","11","Water Screen debitage"
"1714","282","299","11","55.9","","11","Water Screen debitage"
"1714","282","299","11","55.9",,"11","Water Screen Debitqage"
"1715","","","12","56.0","","13","Water Screen debitage"
"1715","282","299","12","56.0","","13","Water Screen debitage"
"1715","282","299","12","56.0",,"12","Water Screen Debitage"
"1716","","","13","56.1","","14","Water Screen debitage"
"1716","282","299","13","56.1","","14","Water Screen debitage"
"1716","282","299","13","56.1",,"14","Water Screen Debitage"
"1717","","","14","56.2","","15","Water Screen debitage"
"1717","282","299","14","56.2","","15","Water Screen debitage"
"1717","282","299","14","56.2",,"15","Water Screen Debitage"
"1718","","","15","56.3","","16","Water Screen debitage"
"1718","282","299","15","56.3","","16","Water Screen debitage"
"1718","282","299","15","56.3",,"16","Water Screen Debitage"
"1719","","","16","56.4","","17","Water Screen debitage"
"1719","282","299","16","56.4","","17","Water Screen debitage"
"1719","282","299","16","56.4",,"17","Water Screen Debitage"
"1720","","","17","56.5","","18","Water Screen debitage"
"1720","282","299","17","56.5","","18","Water Screen debitage"
"1720","282","299","17","56.5",,"18","Water Screen Debitage"
"1721","","","18","56.6","","19","Water Screen debitage"
"1721","282","299","18","56.6","","19","Water Screen debitage"
"1721","282","301","18","56.6",,"19","Water Screen Debitage"
"1722","282","301","1","55.1","","1","Water Screen debitage"
"1722","282","301","1","55.1","","1","Water Screen debitage"
"1722","282","301","1","55.1",,"1","Water Screen Debitage"
"1723","","","2","55.2","","2","Water Screen debitage"
"1723","282","301","2","55.2","","2","Water Screen debitage"
"1723","282","301","2","55.2",,"2","Water Screen Debitage"
"1724","","","3","55.3","","3","Water Screen debitage"
"1724","282","301","3","55.3","","3","Water Screen debitage"
"1724","282","301","3","55.3",,"3","Water Screen Debitage"
"1725","","","4","55.4","","4","Water Screen debitage"
"1725","282","301","4","55.4","","4","Water Screen debitage"
"1725","282","301","4","55.4",,"4","Water Screen Debitage"
"1726","282","301","5","55.5","","5","Water Screen debitage"
"1726","282","301","5","55.5","","5","Water Screen debitage"
"1726","282","301","5","55.5",,"5","Water Screen Debitage"
"1727","cont","cont","6","55.6","","6","Water Screen debitage"
"1727","282","301","6","55.6","","6","Water Screen debitage"
"1727","282","301","6","55.6",,"6","Water Screen Debitage"
"1728","","","7","55.7","","7","Water Screen debitage"
"1728","282","301","7","55.7","","7","Water Screen debitage"
"1728","282","301","7","55.7",,"7","Water Screen Debitage"
"1729","","","8","55.8","","8","Water Screen debitage"
"1729","282","301","8","55.8","","8","Water Screen debitage"
"1729","282","301","8","55.8",,"8","Water Screen Debitage"
"1730","","","9","55.9","","9","Water Screen debitage"
"1730","282","301","9","55.9","","9","Water Screen debitage"
"1730","282","301","9","55.9",,"9","Water Screen Debitage"
"1731","","","10","56.0","","10","Water Screen debitage"
"1731","282","301","10","56","","10","Water Screen debitage"
"1731","282","301","10","56.0",,"10","Water Screen Debitage"
"1732","","","11","56.1","","11","Water Screen debitage"
"1732","282","301","11","56.1","","11","Water Screen debitage"
"1732","282","301","11","56.1",,"11","Water Screen Debitage"
"1733","","","12","56.2","","12","Water Screen debitage"
"1733","282","301","12","56.2","","12","Water Screen debitage"
"1733","282","301","12","56.2",,"12","Water Screen Debitage"
"1734","298","299","1","54.2","","1","Water Screen debitage"
"1734","298","299","1","54.2","","1","Water Screen debitage"
"1734","298","299","1","54.2",,"1","Water Screen Debitage"
"1735","","","2","54.3","","2","Water Screen debitage"
"1735","298","299","2","54.3","","2","Water Screen debitage"
"1735","298","299","2","54.3",,"2","Water Screen Debitage"
"1736","","","3","54.4","","3","Water Screen debitage"
"1736","298","299","3","54.4","","3","Water Screen debitage"
"1736","298","299","3","54.4",,"3","Water Screen Debitage"
"1737","","","4","54.5","","4","Water Screen debitage"
"1737","298","299","4","54.5","","4","Water Screen debitage"
"1737","298","299","4","54.5",,"4","Water Screen Debitage"
"1738","","","5","54.6","","5","Water Screen debitage"
"1738","298","299","5","54.6","","5","Water Screen debitage"
"1738","298","299","5","54.6",,"5","Water Screen Debitage"
"1739","","","6","54.7","","6","Water Screen debitage"
"1739","298","299","6","54.7","","6","Water Screen debitage"
"1739","298","299","6","54.7",,"6","Water Screen Debitage"
"1740","","","7","54.8","","7","Water Screen debitage"
"1740","298","299","7","54.8","","7","Water Screen debitage"
"1740","298","299","7","54.8",,"7","Water Screen Debitage"
"1741","","","8","54.9","","8","Water Screen debitage"
"1741","298","299","8","54.9","","8","Water Screen debitage"
"1741","298","299","8","54.9",,"8","Water Screen Debitage"
"1742","","","9","55.0","","9","Water Screen debitage"
"1742","298","299","9","55.0","","9","Water Screen debitage"
"1742","298","299","9","55.0",,"9","Water Screen Debitage"
"1743","","","10","55.1","","10","Water Screen debitage"
"1743","298","299","10","55.1","","10","Water Screen debitage"
"1743","298","299","10","55.1",,"10","Water Screen Debitage"
"1744","","","11","55.2","","11","Water Screen debitage"
"1744","298","299","11","55.2","","11","Water Screen debitage"
"1744","298","299","11","55.2",,"11","Water Screen Debitage"
"1745","","","12","55.3","","12","Water Screen debitage"
"1745","298","299","12","55.3","","12","Water Screen debitage"
"1745","298","299","12","55.3",,"12","Water Screen Debitage"
"1746","298","300","1","54.2","","1","Water Screen debitage"
"1746","298","300","1","54.2","","1","Water Screen debitage"
"1746","298","300","1","54.2",,"1","Water Screen Debitage"
"1747","","","2","54.3","","2","Water Screen debitage"
"1747","298","300","2","54.3","","2","Water Screen debitage"
"1747","298","300","2","54.3",,"2","Water Screen Debitage"
"1748","","","3","54.4","","3","Water Screen debitage"
"1748","298","300","3","54.4","","3","Water Screen debitage"
"1748","298","300","3","54.4",,"3","Water Screen Debitage"
"1749","","","4","54.5","","4","Water Screen debitage"
"1749","298","300","4","54.5","","4","Water Screen debitage"
"1749","298","300","4","54.5",,"4","Water Screen Debitage"
"1750","","","5","54.6","","5","Water Screen debitage"
"1750","298","300","5","54.6","","5","Water Screen debitage"
"1750","298","300","5","54.6",,"5","Water Screen Debitage"
"1751","298","300","6","54.7","","6","Water Screen debitage"
"1751","298","300","6","54.7","","6","Water Screen Debitage"
"1751","298","300","6","54.7",,"6","Water Screen Debitage"
"1752","cont","cont","7","54.8","","7","Water Screen debitage"
"1752","298","300","7","54.8","","7","Water Screen Debitage"
"1752","298","300","7","54.8",,"7","Water Screen Debitage"
"1753","","","8","54.9","","8","Water Screen debitage"
"1753","298","300","8","54.9","","8","Water Screen Debitage"
"1753","298","300","8","54.9",,"8","Water Screen Debitage"
"1754","","","9","55.0","","9","Water Screen debitage"
"1754","298","300","9","55.0","","9","Water Screen Debitage"
"1754","298","300","9","55.0",,"9","Water Screen Debitage"
"1755","","","10","55.1","","10","Water Screen debitage"
"1755","298","300","10","55.1","","10","Water Screen Debitage"
"1755","298","300","10","55.1",,"10","Water Screen Debitage"
"1756","","","11","55.2","","11","Water Screen debitage"
"1756","298","300","11","55.2","","11","Water Screen Debitage"
"1756","298","300","11","55.2",,"11","Water Screen Debitage"
"1757","","","12","55.3","","12","Water Screen debitage"
"1757","298","300","12","55.3","","12","Water Screen Debitage"
"1757","298","300","12","55.3",,"12","Water Screen Debitage"
"1758","","","13","55.4","","13","Water Screen debitage"
"1758","298","300","13","55.4","","13","Water Screen Debitage"
"1758","298","300","13","55.4",,"13","Water Screen Debitage"
"1759","298","301","1","54.4","","1","Water Screen debitage"
"1759","298","301","1","54.4","","1","Water Screen Debitage"
"1759","298","301","1","54.4",,"1","Water Screen Debitage"
"1760","","","2","54.5","","2","Water Screen debitage"
"1760","298","301","2","54.5","","2","Water Screen Debitage"
"1760","298","301","2","54.5",,"2","Water Screen Debitage"
"1761","","","3","54.6","","3","Water Screen debitage"
"1761","298","301","3","54.6","","3","Water Screen Debitage"
"1761","298","301","3","54.6",,"3","Water Screen Debitage"
"1762","","","4","54.7","","4","Water Screen debitage"
"1762","298","301","4","54.7","","4","Water Screen Debitage"
"1762","298","301","4","54.7",,"4","Water Screen Debitage"
"1763","","","5","54.8","","5","Water Screen debitage"
"1763","298","301","5","54.8","","5","Water Screen Debitage"
"1763","298","301","5","54.8",,"5","'Water Screen Debitage"
"1764","","","6","54.9","","6","Water Screen debitage"
"1764","298","301","6","54.9","","6","Water Screen Debitage"
"1764","298","301","6","54.9",,"6","Water Screen Debitage"
"1765","","","7","55.0","","7","Water Screen debitage"
"1765","298","301","7","55","","7","Water Screen Debitage"
"1765","298","301","7","55.0",,"7","Water Screen Debitage"
"1766","","","8","55.1","","8","Water Screen debitage"
"1766","298","301","8","55.1","","8","Water Screen Debitage"
"1766","298","301","8","55.1",,"8","Water Screen Debitage"
"1767","","","9","55.2","","9","Water Screen debitage"
"1767","298","301","9","55.2","","9","Water Screen Debitage"
"1767","298","301","9","55.2",,"9","Water Screen Debitage"
"1768","","","10","55.3","","10","Water Screen debitage"
"1768","298","301","10","55.3","","10","Water Screen Debitage"
"1768","298","301","10","55.3",,"10","Water Screen Debitage"
"1769","","","11","55.4","","11","Water Screen debitage"
"1769","298","301","11","55.4","","11","Water Screen Debitage"
"1769","298","301","11","55.4",,"11","Water Screen Debitage"
"1770","298","302","1","54.5","","1","Water Screen debitage"
"1770","298","302","1","54.5","","1","Water Screen Debitage"
"1770","298","302","1","54.5",,"1","Water Screen Debitage"
"1771","","","2","54.6","","2","Water Screen debitage"
"1771","298","302","2","54.6","","2","Water Screen Debitage"
"1771","298","302","2","54.6",,"2","Water Screen Debitage"
"1772","","","3","54.7","","3","Water Screen debitage"
"1772","298","302","3","54.7","","3","Water Screen Debitage"
"1772","298","302","3","54.7",,"3","Water Screen Debitage"
"1773","","","4","54.8","","4","Water Screen debitage"
"1773","298","302","4","54.8","","4","Water Screen Debitage"
"1773","298","302","4","54.8",,"4","Water Screen Debitqage"
"1774","","","5","54.9","","5","Water Screen debitage"
"1774","298","302","5","54.9","","5","Water Screen Debitage"
"1774","298","302","5","54.9",,"5","Water Screen Debitage"
"1775","","","6","55.0","","6","Water Screen debitage"
"1775","298","302","6","55.0","","6","Water Screen Debitage"
"1775","298","302","6","55.0",,"6","Water Screen Debitqage"
"1776","298","302","7","55.1","","7","Water Screen debitage"
"1776","298","302","7","55.1",,"7","Water Screen Debitage"
"1776","292","302","7","55.1",,"7","Water Screen Debitage"
"1777","cont","cont","8","55.2","","8","Water Screen debitage"
"1777","298","302","8","55.2",,"8","Water Screen Debitage"
"1777","292","302","8","55.2",,"8","Water Screen Debitage"
"1778","","","9","55.3","","9","Water Screen debitage"
"1778","298","302","9","55.3",,"9","Water Screen Debitage"
"1778","292","302","9","55.3",,"9","Water Screen Debitage"
"1779","","","10","55.4","","10","Water Screen debitage"
"1779","298","302","10","55.4",,"10","Water Screen Debitage"
"1779","292","302","10","55.4",,"10","Water Screen Debitage"
"1780","","","11","55.5","","11","Water Screen debitage"
"1780","298","302","11","55.5",,"11","Water Screen Debitage"
"1780","292","302","11","55.5",,"11","Water Screen Debitage"
"1781","298","303","1","54.6","","1","Water Screen debitage"
"1781","298","303","1","54.6",,"1","Water Screen Debitage"
"1781","298","303","1","54.6",,"1","Water Screen Debitage"
"1782","","","2","54.7","","2","Water Screen debitage"
"1782","298","303","2","54.7",,"2","Water Screen Debitage"
"1782","298","303","2","54.7",,"2","Water Screen Debitage"
"1783","","","3","54.8","","3","Water Screen debitage"
"1783","298","303","3","54.8",,"3","Water Screen Debitage"
"1783","298","303","3","54.8",,"3","Water Screen Debitage"
"1784","","","4","54.9","","4","Water Screen debitage"
"1784","298","303","4","54.9",,"4","Water Screen Debitage"
"1784","298","303","4","54.9",,"4","Water Screen Debitage"
"1785","","","5","55.0","","5","Water Screen debitage"
"1785","298","303","5","55.0",,"5","Water Screen Debitage"
"1785","298","303","5","55.0",,"5","Water Screen Debitage"
"1786","","","6","55.1","","6","Water Screen debitage"
"1786","298","303","6","55.1",,"6","Water Screen Debitage"
"1786","298","303","6","55.1",,"6","Water Screen Debitage"
"1787","","","7","55.2","","7","Water Screen debitage"
"1787","298","303","7","55.2",,"7","Water Screen Debitage"
"1787","298","303","7","55.2",,"7","Water Screen Debitage"
"1788","","","8","55.3","","9","Water Screen debitage"
"1788","298","303","8","55.3",,"9","Water Screen Debitage"
"1788","298","303","8","55.3",,"9","Water Screen Debitage"
"1789","","","9","55.4","","10","Water Screen debitage"
"1789","298","303","9","55.4",,"10","Water Screen Debitage"
"1789","298","303","9","55.4",,"10","Water Screen Debitage"
"1790","","","10","55.5","","11","Water Screen debitage"
"1790","298","303","10","55.5",,"11","Water Screen Debitage"
"1790","298","303","10","55.5",,"11","Water Screen Debitage"
"1791","298","304","1","54.4","","1","Water Screen debitage"
"1791","298","304","1","54.4",,"1","Water Screen Debitage"
"1791","298","304","1","54.4",,"1","Water Screen Debitage"
"1792","(1x2)","(1x2)","2","54.5","","2","Water Screen debitage"
"1792","298","304","2","54.5",,"2","Water Screen Debitage"
"1792","298","304","2","54.5",,"2","Water Screen Debitage"
"1793","","","3","54.6","","3","Water Screen debitage"
"1793","298","304","3","54.6",,"3","Water Screen Debitage"
"1793","298","304","3","54.6",,"3","Water Screen Debitage"
"1794","","","4","54.7","","4","Water Screen debitage"
"1794","298","304","4","54.7",,"4","Water Screen Debitage"
"1794","298","304","4","54.7",,"4","Water Screen Debitage"
"1795","","","5","54.8","","5","Water Screen debitage"
"1795","298","304","5","54.8",,"5","Water Screen Debitage"
"1795","298","304","5","54.8",,"5","Water Screen Debitage"
"1796","","","6","54.9","","6","Water Screen debitage"
"1796","298","304","6","54.9",,"6","Water Screen Debitage"
"1796","298","304","6","54.9",,"6","Water Screen Debitage"
"1797","","","7","55.0","","7","Water Screen debitage"
"1797","298","304","7","55.0",,"7","Water Screen Debitage"
"1797","298","304","7","55.0",,"7","Water Screen Debitage"
"1798","","","8","55.1","","8","Water Screen debitage"
"1798","298","304","8","55.1",,"8","Water Screen Debitage"
"1798","298","304","8","55.1",,"8","Water Screen Debitage"
"1799","","","9","55.2","","9","Water Screen debitage"
"1799","298","304","9","55.2",,"9","Water Screen Debitage"
"1799","298","304","9","55.2",,"9","Water Screen Debitage"
"1800","","","10","55.3","","10","Water Screen debitage"
"1800","298","304","10","55.3",,"10","Water Screen Debitage"
"1800","298","304","10","55.3",,"10","Water Screen Debitage"
"1801","298","304","11","55.4","","11","Water Screen debitage"
"1801","298","304","11","55.4",,"11","Water Screen Debitage"
"1801","298","304","11","55.4","","11","Water Screen Debitage"
"1802","cont","cont","12","55.5","","12","Water Screen debitage"
"1802","298","304","12","55.5",,"12","Water Screen Debitage"
"1802","298","304","12","55.5",,"12","Water Screen Debitage"
"1803","","","13","55.6","","14","Water Screen debitage"
"1803","298","304","13","55.6",,"14","Water Screen Debitage"
"1803","298","304","13","55.6",,"14","Water Screen Debitage"
"1804","","","14","55.87","","17","Water Screen debitage"
"1804","298","304","14","55.87",,"17","Water Screen Debitage"
"1804","298","304","14","55.87",,"17","Water Screen Debitage"
"1805","","","15","55.8","","19","Water Screen debitage"
"1805","298","304","15","55.8",,"19","Water Screen Debitage"
"1805","298","304","15","55.8",,"19","Water Screen Debitage"
"1806","","","16","55.9","","20","Water Screen debitage"
"1806","298","304","16","55.9",,"20","Water Screen Debitage"
"1806","298","304","16","55.9",,"20","Water Screen Debitage"
"1807","","","17","56.0","","21","Water Screen debitage"
"1807","298","304","17","56.0",,"21","Water Screen Debitage"
"1807","298","304","17","56.0",,"21","Water Screen Debitage"
"1808","298","305","1","54.6","","1","Water Screen debitage"
"1808","298","305","1","54.6",,"1","Water Screen Debitage"
"1808","298","305","1","54.6",,"1","Water Screen Debitage"
"1809","","","2","54.7","","2","Water Screen debitage"
"1809","298","305","2","54.7",,"2","Water Screen Debitage"
"1809","298","305","2","54.7",,"2","Water Screen Debitage"
"1810","","","3","54.8","","3","Water Screen debitage"
"1810","298","305","3","54.8",,"3","Water Screen Debitage"
"1810","298","305","3","54.8",,"3","Water Screen Debitage"
"1811","","","4","54.9","","4","Water Screen debitage"
"1811","298","305","4","54.9",,"4","Water Screen Debitage"
"1811","298","305","4","54.9",,"4","Water Screen Debitage"
"1812","","","5","55.0","","6","Water Screen debitage"
"1812","298","305","5","55.0",,"6","Water Screen Debitage"
"1812","298","305","5","55.0",,"6","Water Screen Debitage"
"1813","","","6","55.1","","7","Water Screen debitage"
"1813","298","305","6","55.1",,"7","Water Screen Debitage"
"1813","298","305","6","55.1",,"7","Water Screen Debitage"
"1814","","","7","55.2","","8","Water Screen debitage"
"1814","298","305","7","55.2",,"8","Water Screen Debitage"
"1814","298","305","7","55.2",,"8","Water Screen Debitage"
"1815","","","8","55.3","","9","Water Screen debitage"
"1815","298","305","8","55.3",,"9","Water Screen Debitage"
"1815","298","305","8","55.3",,"9","Water Screen Debitage"
"1816","","","9","55.4","","10","Water Screen debitage"
"1816","298","305","9","55.4",,"10","Water Screen Debitage"
"1816","298","305","9","55.4",,"10","Water Screen Debitage"
"1817","","","10","55.5","","11","Water Screen debitage"
"1817","298","305","10","55.5",,"11","Water Screen Debitage"
"1817","298","305","10","55.5",,"11","Water Screen Debitage"
"1818","","","11","55.6","","12","Water Screen debitage"
"1818","298","305","11","55.6",,"12","Water Screen Debitage"
"1818","298","305","11","55.6",,"12","Water Screen Debitage"
"1819","","","12","55.7","","13","Water Screen debitage"
"1819","298","305","12","55.7",,"13","Water Screen Debitage"
"1819","298","305","12","55.7",,"13","Water Screen Debitage"
"1820","","","13","55.8","","14","Water Screen debitage"
"1820","298","305","13","55.8",,"14","Water Screen Debitage"
"1820","298","305","13","55.8",,"14","Water Screen Debitage"
"1821","","","14","56.03","","15","Water Screen debitage"
"1821","298","305","14","56.03",,"15","Water Screen Debitage"
"1821","298","305","14","56.03",,"15","Water Screen Debitage"
"1822","298","306","2","55.2","","1","Water Screen debitage"
"1822","298","306","2","55.2",,"1","Water Screen Debitage"
"1822","298","306","2","55.2",,"1","Water Screen Debitage"
"1823","","","3","55.3","","2","Water Screen debitage"
"1823","298","306","3","55.3",,"2","Water Screen Debitage"
"1823","298","306","3","55.3",,"2","Water Screen Debitage"
"1824","","","4","55.4","","3","Water Screen debitage"
"1824","298","306","4","55.4",,"3","Water Screen Debitage"
"1824","298","306","4","55.4",,"3","Water Screen Debitage"
"1825","","","5","55.5","","4","Water Screen debitage"
"1825","298","306","5","55.5",,"4","Water Screen Debitage"
"1825","298","306","5","55.5",,"4","Water Screen Debitage"
"701","299","305","12","55.8","46","","Chip tool"
"701","299","305","12","55.8","46",,"chip tool"
"701","299","305","12","55.8","46",,"Chip tool"
"702","cont","cont","cont","cont","cont","","Chip tool"
"702","299","305","12","55.8","46",,"chip tool"
"702","299","305","12","55.8","46",,"Chip tool"
"703","","","13","56.04","49","","Debitage"
"703","299","305","13","56.04","49",,"debitage"
"703","299","305","13","56.04","49",,"Debitage"
"704","","","","","49","","Chip tool"
"704","299","305","13","56.04","49",,"chip tool"
"704","299","305","13","56.04","49",,"Chip tool"
"705","","","","","49","","Chip tool"
"705","299","305","13","56.04","49",,"chip tool"
"705","299","305","13","56.04","49",,"Chip tool"
"706","","","","","49","","Chip tool"
"706","299","305","13","56.04","49",,"chip tool"
"706","299","305","13","56.04","49",,"Chip tool"
"707","","","","","49","","Chip tool"
"707","299","305","13","56.04","49",,"chip tool"
"707","299","305","13","56.04","49",,"Chip tool"
"708","","","","","49","","Chip tool"
"708","299","305","13","56.04","49",,"chip tool"
"708","299","305","13","56.04","49",,"Chip tool"
"709","","","","","49","","Chip tool"
"709","299","305","13","56.04","49",,"chip tool"
"709","299","305","13","56.04","49",,"Chip tool"
"710","","","","","49","","Chip tool"
"710","299","305","13","56.04","49",,"chip tool"
"710","299","305","13","56.04","49",,"Chip tool"
"711","","","","","49","","Chip tool"
"711","299","305","13","56.04","49",,"chip tool"
"711","299","305","13","56.04","49",,"Chip tool"
"712","","","","","51","","Hafted biface"
"712","299","305","13","56.04","51",,"hafted biface"
"712","299","305","13","56.04","51",,"Hafted biface"
"713","299","306","4","55.1","8","","Debitage"
"713","299","306","4","55.1","8",,"debitage"
"713","299","306","4","55.1","8",,"Debitage"
"714","","","","","8","","Chip tool"
"714","299","306","4","55.1","8",,"chip tool"
"714","299","306","4","55.1","8",,"Chip tool"
"715","","","","","8","","Chip tool"
"715","299","306","4","55.1","8",,"chip tool"
"715","299","306","4","55.1","8",,"Chip tool"
"716","","","","","8","","Chip tool"
"716","299","306","4","55.1","8",,"chip tool"
"716","299","306","4","55.1","8",,"Chip tool"
"717",".90",".05","",".03","10","","Chip tool"
"717","299.90","306.05","4","55.03","10",,"chip tool"
"717","299.90","306.05","4","55.03","10",,"Chip tool"
"718",".61",".30","",".03","11","","Chip tool"
"718","299.61","306.30","4","55.03","11",,"chip tool"
"718","299.61","306.30","4","55.03","11",,"Chip tool"
"719","","","5","55.2","13","","Debitage"
"719","299","306","5","55.2","13",,"debitage"
"719","299","306","5","55.2","13",,"Debitage"
"720","","","","","13","","Chip tool"
"720","299","306","5","55.2","13",,"chip tool"
"720","299","306","5","55.2","13",,"Chip tool"
"721","","","","","13","","Chip tool"
"721","299","306","5","55.2","13",,"chip tool"
"721","299","306","5","55.2","13",,"Chip tool"
"722","","","6","55.3","17","","Debitage"
"722","299","306","6","55.3","17",,"debitage"
"722","299","306","6","55.3","17",,"Debitage"
"723","","","","","17","","Chip tool"
"723","299","306","6","55.3","17",,"chip tool"
"723","299","306","6","55.3","17",,"Chip tool"
"724","","","","","17","","Chip tool"
"724","299","306","6","55.3","17",,"chip tool"
"724","299","306","6","55.3","17",,"Chip tool"
"725","","","","","17","","Chip tool"
"725","299","306","6","55.3","17",,"chip tool"
"725","299","306","6","55.3","17",,"Chip tool"
"1826","298","306","6","55.6","","5","Water Screen debitage"
"1826","298","306","6","55.6",,"5","Water Screen Debitage"
"1826","298","306","6","55.6",,"5","Water Screen Debitage"
"1827","cont","cont","7","55.7","","6","Water Screen debitage"
"1827","298","306","7","55.7",,"6","Water Screen Debitage"
"1827","298","306","7","55.7",,"6","Water Screen Debitage"
"1828","","","8","55.8","","7","Water Screen debitage"
"1828","298","306","8","55.8",,"7","Water Screen Debitage"
"1828","298","306","8","55.8",,"7","Water Screen Debitage"
"1829","","","9","55.9","","8","Water Screen debitage"
"1829","298","306","9","55.9",,"8","Water Screen Debitage"
"1829","298","306","9","55.9",,"8","Water Screen Debitage"
"1830","","","10","56.0","","9","Water Screen debitage"
"1830","298","306","10","56.0",,"9","Water Screen Debitage"
"1830","298","306","10","56.0",,"9","Water Screen Debitage"
"1831","","","11","56.15","","10","Water Screen debitage"
"1831","298","306","11","56.15",,"10","Water Screen Debitage"
"1831","298","306","11","56.15",,"10","Water Screen Debitage"
"1832","299","301","1","54.1","","1","Water Screen debitage"
"1832","299","301","1","54.1",,"1","Water Screen Debitage"
"1832","299","301","1","54.1",,"1","Water Screen Debitage"
"1833","","","2","54.2","","2","Water Screen debitage"
"1833","299","301","2","54.2",,"2","Water Screen Debitage"
"1833","299","301","2","54.2",,"2","Water Screen Debitage"
"1834","","","3","54.3","","3","Water Screen debitage"
"1834","299","301","3","54.3",,"3","Water Screen Debitage"
"1834","299","301","3","54.3",,"3","Water Screen Debitage"
"1835","","","4","54.4","","4","Water Screen debitage"
"1835","299","301","4","54.4",,"4","Water Screen Debitage"
"1835","299","301","4","54.4",,"4","Water Screen Debitage"
"1836","","","5.1","54.5","","5","Water Screen debitage Feature 9"
"1836","299","301","5.1","54.5",,"5","Water Screen Debitage"
"1836","299","301","5.1","54.5",,"5","Water Screen Debitage"
"1837","","","5.2","54.7","","6","Water Screen debitage Feature 9"
"1837","299","301","5.2","54.7",,"6","Water Screen Debitage"
"1837","299","301","5.2","54.7",,"6","Water Screen Debitage"
"1838","","","6.1","54.76","","8","Water Screen debitage Feature 9"
"1838","299","301","6.1","54.76",,"8","Water Screen Debitage"
"1838","299","301","6.1","54.76",,"8","Water Screen Debitage"
"1839","","","6.2","54.5","","10","Water Screen debitage"
"1839","299","301","6.2","54.5",,"10","Water Screen Debitage"
"1839","299","301","6.2","54.5",,"10","Water Screen Debitage"
"1840","","","7","54.6","","11","Water Screen debitage"
"1840","299","301","7","54.6",,"11","Water Screen Debitage"
"1840","299","301","7","54.6",,"11","Water Screen Debitage"
"1841","","","8","54.7","","12","Water Screen debitage"
"1841","299","301","8","54.7",,"12","Water Screen Debitage"
"1841","299","301","8","54.7",,"12","Water Screen Debitage"
"1842","","","9","54.8","","15","Water Screen debitage"
"1842","299","301","9","54.8",,"15","Water Screen Debitage"
"1842","299","301","9","54.8",,"15","Water Screen Debitage"
